stop_id,stop_name,agency_id,stop_lat,stop_lon,daily_ons,daily_offs,average_load
SEPTA23436,Union Av & Montgomery Av,SEPTA,40.066208,-75.125823,0,7,5.580645161290323
SEPTA23437,Montgomery Av & Ashbourne Rd,SEPTA,40.068244,-75.126181,1,3,5.483870967741935
SEPTA23438,Montgomery Av & Gerard Av,SEPTA,40.070057,-75.126706,1,0,5.548387096774194
SEPTA23439,Montgomery Av & High School Rd,SEPTA,40.07193,-75.126461,4,1,5.774193548387097
SEPTA23440,High School Rd & Church Rd,SEPTA,40.072502,-75.123052,0,1,5.741935483870968
SEPTA23441,Church Rd & Cadwalader Av,SEPTA,40.073147,-75.123676,1,2,5.67741935483871
SEPTA23442,Cadwalader Av & Waring Rd,SEPTA,40.074447,-75.122429,0,1,5.612903225806452
SEPTA23443,Cadwalader Av & Shoemaker Rd,SEPTA,40.075987,-75.120908,1,0,5.67741935483871
SEPTA23444,Cadwalader Av & Marvin Rd,SEPTA,40.078287,-75.119632,0,0,5.67741935483871
SEPTA23445,Cadwalader Av & Brookside Rd,SEPTA,40.079783,-75.118265,0,0,5.709677419354839
SEPTA23446,Cadwalader Av & Township Line Rd,SEPTA,40.081127,-75.116923,0,5,5.580645161290323
SEPTA23447,Forrest Av & Willow Av,SEPTA,40.086121,-75.111813,1,0,5.645161290322581
SEPTA23449,Forrest Av & Douglas Av,SEPTA,40.086725,-75.110569,0,3,5.548387096774194
SEPTA23450,Fox Chase Rd & Kirkwood St - FS,SEPTA,40.086667,-75.101885,0,1,5.235294117647059
SEPTA23453,Cedar Rd & Gibson Av,SEPTA,40.087047,-75.097115,0,0,5.176470588235294
SEPTA23454,Cedar Rd & Montgomery Av,SEPTA,40.088792,-75.095403,1,0,5.235294117647059
SEPTA23455,Cedar Rd & Old Huntingdon Pk,SEPTA,40.089923,-75.094262,0,3,5.117647058823529
SEPTA23456,Huntingdon Pk & Montgomery Av,SEPTA,40.088565,-75.093878,13,7,3.9746835443037973
SEPTA23457,Huntingdon Pk & San Gabriel Av,SEPTA,40.087842,-75.093846,21,7,4.1265822784810124
SEPTA23459,Huntingdon Pk & Shady Ln,SEPTA,40.084887,-75.093611,19,1,4.455696202531645
SEPTA23461,Huntingdon Pk & Penn Av - FS,SEPTA,40.08342,-75.092565,9,1,4.582278481012659
SEPTA23462,Huntingdon Pk & Central Av,SEPTA,40.082606,-75.091575,1,0,4.658227848101266
SEPTA23464,Huntingdon Pk & Sylvania Av,SEPTA,40.081352,-75.090126,5,0,4.784810126582278
SEPTA23465,Huntingdon Pk & Fox St,SEPTA,40.079356,-75.087805,6,4,4.936708860759493
SEPTA23466,Huntingdon Pk & Fillmore St,SEPTA,40.078666,-75.087016,3,4,4.8354430379746836
SEPTA23467,Huntingdon Pk & Burholme Av - MBNS,SEPTA,40.078102,-75.086368,4,5,4.8734177215189876
SEPTA23468,Rhawn St & Elberon Av,SEPTA,40.076675,-75.083323,60,2,7.171428571428572
SEPTA23469,Rhawn St & Rockwell Av - FS,SEPTA,40.076431,-75.082295,15,2,7.6
SEPTA2347,Conchester Hwy & Baltimore Pk - MBFS,SEPTA,39.883534,-75.524545,0,1,7.625
SEPTA23470,Rhawn St & Ridgeway St - FS,SEPTA,40.075694,-75.080713,4,1,7.771428571428571
SEPTA23471,Rhawn St & Halstead St,SEPTA,40.074861,-75.079333,6,0,7.828571428571428
SEPTA23472,Rhawn St & Ferndale St,SEPTA,40.073928,-75.077741,15,0,8.285714285714286
SEPTA23473,Rhawn St & Verree Rd,SEPTA,40.072924,-75.076054,48,34,9.5
SEPTA23474,Rhawn St & Rising Sun Av,SEPTA,40.07199,-75.07419,4,0,8.794117647058824
SEPTA23475,Rhawn St & Bingham St,SEPTA,40.071137,-75.072443,3,1,8.941176470588236
SEPTA23476,Rhawn St & Tabor Av,SEPTA,40.07023,-75.070579,11,4,9.117647058823529
SEPTA23477,Rhawn St & Ripley St,SEPTA,40.069503,-75.06908,12,0,9.441176470588236
SEPTA23478,Rhawn St & Dungan Rd,SEPTA,40.068731,-75.067511,23,14,9.705882352941176
SEPTA23479,Rhawn St & Meadowbrook Dr - FS,SEPTA,40.0677,-75.065742,13,8,9.1875
SEPTA23480,Rhawn St & Dorcas St - MBNS,SEPTA,40.067018,-75.064586,2,0,9.166666666666666
SEPTA23481,Rhawn St & Algon Av,SEPTA,40.066157,-75.063183,9,9,9.657142857142857
SEPTA23482,Rhawn St & Sumerdale Av,SEPTA,40.065081,-75.061474,9,9,9.714285714285714
SEPTA23483,Rhawn St & Frontenac St,SEPTA,40.064023,-75.059776,3,4,9.714285714285714
SEPTA23484,Rhawn St & Loretto Av,SEPTA,40.062794,-75.057843,3,3,9.571428571428571
SEPTA23485,Rhawn St & Large St,SEPTA,40.060731,-75.054329,3,2,9.17142857142857
SEPTA23486,Rhawn St & Bustleton Av,SEPTA,40.059546,-75.052183,33,42,9
SEPTA23487,Rhawn St & Eastwood St,SEPTA,40.058766,-75.050732,3,0,9.028571428571428
SEPTA23488,Rhawn St & Bradford St,SEPTA,40.057715,-75.04881,3,3,8.942857142857143
SEPTA23489,Rhawn St & Roosevelt Blvd - FS,SEPTA,40.056351,-75.046275,25,59,8.428571428571429
SEPTA23490,Rhawn St & Calvert St,SEPTA,40.055463,-75.044647,6,5,8.457142857142857
